entity_id,event_type,event,time,pathway,run_number,timestamp,resource_id,value,fuel_level_start,fuel_level_end
parameter,parameter,tank_size,0.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,0.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,1.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,2.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,3.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,4.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,5.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,6.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,7.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,8.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,9.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,10.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,11.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,12.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,13.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,14.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,15.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,16.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,17.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,18.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,19.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,20.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,21.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,22.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,23.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,24.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,25.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,26.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,27.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,28.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,29.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,30.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,31.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,32.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,33.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,34.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,35.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,36.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,37.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,38.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,39.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,40.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,41.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,42.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,43.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,44.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,45.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,46.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,47.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,48.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,49.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,50.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,51.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,52.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,53.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,54.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,55.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,56.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,57.0,,,,,600.0,,
StationTank,fuel_level_change,fuel_level_change,58.0,,,,,600.0,,
